,QRID,Hamming Distance
1706,6010925,0.2966507177033493
1072,6007683,0.2966507177033493
562,6003196,0.2966507177033493
1230,6008594,0.2966507177033493
602,6003816,0.2966507177033493
461,6002678,0.2966507177033493
590,6003638,0.2966507177033493
1162,6008272,0.29984051036682613
1023,6007330,0.29984051036682613
1156,6008219,0.29984051036682613
2036,6012303,0.29984051036682613
377,6002228,0.29984051036682613
1729,6011044,0.29984051036682613
1730,6011057,0.29984051036682613
535,6003013,0.29984051036682613
31,6000226,0.29984051036682613
523,6002976,0.29984051036682613
511,6002914,0.29984051036682613
487,6002793,0.29984051036682613
1785,6011326,0.29984051036682613
1461,6009879,0.29984051036682613
1235,6008609,0.29984051036682613
1093,6007845,0.29984051036682613
1821,6011448,0.29984051036682613
1069,6007656,0.29984051036682613
1746,6011137,0.29984051036682613
103,6000742,0.29984051036682613
1066,6007652,0.29984051036682613
1411,6009471,0.29984051036682613
302,6001770,0.29984051036682613
2197,6012940,0.29984051036682613
24,6000198,0.29984051036682613
2177,6012873,0.29984051036682613
1571,6010364,0.29984051036682613
2178,6012874,0.29984051036682613
116,6000834,0.29984051036682613
791,6005180,0.29984051036682613
179,6001195,0.29984051036682613
1755,6011171,0.30303030303030304
1132,6008114,0.30303030303030304
1757,6011186,0.30303030303030304
1131,6008101,0.30303030303030304
1699,6010905,0.30303030303030304
595,6003795,0.30303030303030304
1574,6010376,0.30303030303030304
1508,6010095,0.30303030303030304
748,6004795,0.30303030303030304
1243,6008630,0.30303030303030304
1239,6008625,0.30303030303030304
1597,6010476,0.30303030303030304
1509,6010096,0.30303030303030304
1203,6008486,0.30303030303030304
787,6005160,0.30303030303030304
176,6001184,0.30303030303030304
1700,6010907,0.30303030303030304
139,6000975,0.30303030303030304
1701,6010908,0.30303030303030304
1704,6010920,0.30303030303030304
1174,6008321,0.30303030303030304
225,6001385,0.30303030303030304
1540,6010234,0.30303030303030304
790,6005178,0.30303030303030304
1658,6010743,0.30303030303030304
730,6004630,0.30303030303030304
1657,6010742,0.30303030303030304
1514,6010118,0.30303030303030304
90,6000664,0.30303030303030304
1519,6010144,0.30303030303030304
546,6003084,0.30303030303030304
1500,6010060,0.30303030303030304
747,6004792,0.30303030303030304
451,6002614,0.30303030303030304
688,6004379,0.30303030303030304
456,6002625,0.30303030303030304
35,6000251,0.30303030303030304
1022,6007329,0.30303030303030304
70,6000571,0.30303030303030304
876,6005935,0.30303030303030304
328,6001934,0.30303030303030304
1421,6009523,0.30303030303030304
1333,6009133,0.30303030303030304
1334,6009134,0.30303030303030304
420,6002459,0.30303030303030304
280,6001689,0.30303030303030304
1408,6009463,0.30303030303030304
849,6005800,0.30303030303030304
181,6001198,0.30303030303030304
275,6001623,0.30303030303030304
446,6002580,0.30303030303030304
2200,6012948,0.30303030303030304
445,6002579,0.30303030303030304
2095,6012519,0.30303030303030304
258,6001544,0.30303030303030304
379,6002237,0.30303030303030304
1900,6011758,0.30303030303030304
1067,6007653,0.30303030303030304
2249,6013152,0.30303030303030304
150,6001017,0.30303030303030304
1863,6011631,0.30303030303030304
823,6005538,0.30303030303030304
