,QRID,Hamming Distance
1583,7001980,0.22837370242214533
571,7001626,0.23298731257208766
632,7003220,0.23529411764705882
555,7000919,0.23529411764705882
129,7005113,0.23760092272202998
291,7002557,0.23990772779700115
1202,7004870,0.23990772779700115
1833,7004923,0.23990772779700115
125,7004103,0.23990772779700115
2430,7006299,0.2422145328719723
193,7005664,0.24452133794694347
1475,7002508,0.24452133794694347
1549,7000934,0.24452133794694347
1211,7004918,0.24452133794694347
42,7004472,0.24682814302191464
893,7007411,0.24682814302191464
1601,7002155,0.24682814302191464
253,7005498,0.24682814302191464
22,7002708,0.24682814302191464
416,7005937,0.24682814302191464
262,7007721,0.2491349480968858
1304,7005917,0.2491349480968858
638,7003285,0.2491349480968858
970,7000519,0.2491349480968858
1653,7002876,0.2491349480968858
426,7006169,0.25144175317185696
670,7004037,0.25144175317185696
1528,7000445,0.25144175317185696
513,7004381,0.25144175317185696
608,7002808,0.25144175317185696
138,7000287,0.25144175317185696
179,7004616,0.25144175317185696
557,7000931,0.25144175317185696
398,7005487,0.2537485582468281
1517,7000215,0.2537485582468281
1062,7003022,0.2537485582468281
1057,7002975,0.2537485582468281
1156,7004295,0.2537485582468281
82,7003223,0.2537485582468281
804,7006151,0.2537485582468281
88,7004196,0.2537485582468281
819,7006318,0.2537485582468281
104,7005654,0.2537485582468281
984,7000911,0.2537485582468281
982,7000791,0.2537485582468281
221,7007947,0.2537485582468281
903,7007597,0.2537485582468281
1569,7001588,0.2537485582468281
1148,7004224,0.2537485582468281
566,7001374,0.2537485582468281
1656,7002935,0.2537485582468281
1644,7002782,0.2537485582468281
1069,7003095,0.2537485582468281
1638,7002706,0.2537485582468281
1529,7000513,0.2537485582468281
1379,7006837,0.2560553633217993
1302,7005891,0.2560553633217993
422,7006048,0.2560553633217993
1407,7007103,0.2560553633217993
958,7000178,0.2560553633217993
1171,7004452,0.2560553633217993
2355,7005176,0.2560553633217993
1531,7000603,0.2560553633217993
906,7007672,0.2560553633217993
329,7003465,0.2560553633217993
272,7001307,0.2560553633217993
964,7000406,0.2560553633217993
140,7000425,0.2560553633217993
1410,7007122,0.2560553633217993
1655,7002905,0.2560553633217993
887,7007342,0.2560553633217993
543,7007288,0.2560553633217993
1649,7002834,0.2560553633217993
1426,7007322,0.2560553633217993
6,7006809,0.2560553633217993
1255,7005378,0.2560553633217993
687,7004359,0.2560553633217993
957,7000175,0.2560553633217993
383,7005251,0.2560553633217993
1061,7003001,0.2560553633217993
977,7000723,0.25836216839677045
1215,7004932,0.25836216839677045
499,7007815,0.25836216839677045
728,7005077,0.25836216839677045
23,7004505,0.25836216839677045
118,7001221,0.25836216839677045
321,7003244,0.25836216839677045
293,7002602,0.25836216839677045
944,7005265,0.25836216839677045
1232,7005100,0.25836216839677045
13,7002183,0.25836216839677045
751,7005403,0.25836216839677045
1100,7003626,0.25836216839677045
868,7007031,0.25836216839677045
1498,7005497,0.25836216839677045
143,7000902,0.25836216839677045
150,7002342,0.25836216839677045
881,7007299,0.25836216839677045
1416,7007197,0.25836216839677045
353,7004208,0.25836216839677045
